名称,用途,分类,主题,状态,维护状态,入口,仓库,原始标题,依据,日期
所有一块钱的生意，都能做到千万营收；0到1后如何判断放大,复盘“所有一块钱的生意，都能做到千万营收；0到1后如何判断放大”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260522-02,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-05-22 周五｜周五线下主题分享,依据原 Wiki 的会议主题与摘要,2026-05-22
1V1 业务建议、多创业项目问诊与方向指导,复盘“1V1 业务建议、多创业项目问诊与方向指导”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260520-03,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-05-20 周三｜全员探索破冰大会/项目诊断私董会,依据原 Wiki 的会议主题与摘要,2026-05-20
志辉：搭建24小时不断写项目的超级系统,复盘“志辉：搭建24小时不断写项目的超级系统”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260516-pqkuwprihisvzoky461cuhltnse,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260516 | 志辉：搭建24小时不断写项目的超级系统,依据原 Wiki 的会议主题与摘要,2026-05-16
AI企业培训变现：0粉起盘、小班课、企业服务打包、高客单,复盘“AI企业培训变现：0粉起盘、小班课、企业服务打包、高客单”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,出海、增长与商业化 / 创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260515-04,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-05-15 周五｜线下主题分享,依据原 Wiki 的会议主题与摘要,2026-05-15
拆解我的AI员工搭建全流程：公域内容工厂 + 千人千面私域运营,复盘“拆解我的AI员工搭建全流程：公域内容工厂 + 千人千面私域运营”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260508-05,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-05-08 周五｜线下主题分享,依据原 Wiki 的会议主题与摘要,2026-05-08
小红书实战经验分享,复盘“小红书实战经验分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260425-06,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-04-25 周六｜小红书实战分享局,依据原 Wiki 的会议主题与摘要,2026-04-25
创业 & AI 变现问答、业务卡点答疑,复盘“创业 & AI 变现问答、业务卡点答疑”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,出海、增长与商业化 / 创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260424-07,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-04-24 周五｜涛哥回归主题分享,依据原 Wiki 的会议主题与摘要,2026-04-24
雨文：龙虾+AI视频演示（预告）,复盘“雨文：龙虾+AI视频演示（预告）”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260417-nktiwepwzicue6kf3mtcyy1fnzg,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260417｜雨文：龙虾+AI视频演示（预告）,依据原 Wiki 的会议主题与摘要,2026-04-17
来来老师：龙虾如何服务 AI 电商企业,复盘“来来老师：龙虾如何服务 AI 电商企业”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260417-jorhwbkd9imfe6kxxadcbnj7n8d,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260417 | 来来老师：龙虾如何服务 AI 电商企业,依据原 Wiki 的会议主题与摘要,2026-04-17
如何让不“简单”的创业，变得“简单”；9.9剁椒鱼头、聚焦打法,复盘“如何让不“简单”的创业，变得“简单”；9.9剁椒鱼头、聚焦打法”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260417-08,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-04-17 周五｜每周五线下主题分享,依据原 Wiki 的会议主题与摘要,2026-04-17
许老师：AI夜校启动仪式,复盘“许老师：AI夜校启动仪式”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260410-gge0whevyia5yskmquycfy4ynff,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260410 | 许老师：AI夜校启动仪式,依据原 Wiki 的会议主题与摘要,2026-04-10
志辉：推特起号及商单合作经验分享,复盘“志辉：推特起号及商单合作经验分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260410-ww2bwu0qqib4g2kdbivcwelrn4r,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260410 | 志辉：推特起号及商单合作经验分享,依据原 Wiki 的会议主题与摘要,2026-04-10
志辉：ClaudeCode + Obsidian，搭建你的自动化内容创作系统,复盘“志辉：ClaudeCode + Obsidian，搭建你的自动化内容创作系统”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260410-fiuvw87tpiirhgkuoezcaikanfu,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260410 | 志辉：ClaudeCode + Obsidian，搭建你的自动化内容创作系统,依据原 Wiki 的会议主题与摘要,2026-04-10
小圆：AI企业服务，如何借势从0快速起盘,复盘“小圆：AI企业服务，如何借势从0快速起盘”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260403-rapzwswi0i49yjk3ftscnh5enmf,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260403｜小圆：AI企业服务，如何借势从0快速起盘,依据原 Wiki 的会议主题与摘要,2026-04-03
产品开发成功率 80% 的三个方法论；亚马逊、投资视角、AI,复盘“产品开发成功率 80% 的三个方法论；亚马逊、投资视角、AI”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群 / 行业访谈与趋势,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260403-09,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-04-03 周五｜线下主题分享,依据原 Wiki 的会议主题与摘要,2026-04-03
CC 安装；Claude Code/小龙虾配置；现场实操,复盘“CC 安装；Claude Code/小龙虾配置；现场实操”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260402-10,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-04-02 周四｜小技能+实操分享第 1 场,依据原 Wiki 的会议主题与摘要,2026-04-02
AI创业、AI应用、跨境赚钱、搜索优化等,复盘“AI创业、AI应用、跨境赚钱、搜索优化等”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260330-11,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-03-30 周一｜AI 圆桌,依据原 Wiki 的会议主题与摘要,2026-03-30
播客 0-1；skill/技能分享,复盘“播客 0-1；skill/技能分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260327-12,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-03-27 周五｜第 2 场：如何做一档播客节目,依据原 Wiki 的会议主题与摘要,2026-03-27
直播相关分享,复盘“直播相关分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260325-13,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-03-25 周三晚｜涛哥直播/加餐分享,依据原 Wiki 的会议主题与摘要,2026-03-25
阿民：AI产品出海变现经验分享,复盘“阿民：AI产品出海变现经验分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,出海、增长与商业化 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260320-h4frwddbbi9soxk9jr5cdkmlnvh,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260320｜阿民：AI产品出海变现经验分享,依据原 Wiki 的会议主题与摘要,2026-03-20
涛哥-行业趋势；香菜-本地生活；答疑,复盘“涛哥-行业趋势；香菜-本地生活；答疑”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群 / 行业访谈与趋势,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#guangzhou-20260320-14,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,2026-03-20 周五｜第 1 场：联合办公破冰大会,依据原 Wiki 的会议主题与摘要,2026-03-20
子扬：如何在变化中抓流量入口变现,复盘“子扬：如何在变化中抓流量入口变现”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,出海、增长与商业化 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260313-kea7w9neoimoyxkrcwdc7xrbnsc,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260313｜子扬：如何在变化中抓流量入口变现,依据原 Wiki 的会议主题与摘要,2026-03-13
雨文：AI项目杠杆思维与OpenClaw实操分享,复盘“雨文：AI项目杠杆思维与OpenClaw实操分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260306-uhhswsczcigzs4kszhbchuwvn0c,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260306｜雨文：AI项目杠杆思维与OpenClaw实操分享,依据原 Wiki 的会议主题与摘要,2026-03-06
来来老师: OpenClaw云端部署分享,复盘“来来老师: OpenClaw云端部署分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260306-mrvuwucvmiphcokmhctcbr6sn3b,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260306｜来来老师: OpenClaw云端部署分享,依据原 Wiki 的会议主题与摘要,2026-03-06
M叔：创业心法及方法论分享,复盘“M叔：创业心法及方法论分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260130-v3vqwq3qhiqznmkd8azctacrnyf,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260130｜M叔：创业心法及方法论分享,依据原 Wiki 的会议主题与摘要,2026-01-30
醒醒老师：盖洛普优势才干应用分享,复盘“醒醒老师：盖洛普优势才干应用分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260126-textwiajyi52k6kq2dscvlgmnbe,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260126｜醒醒老师：盖洛普优势才干应用分享,依据原 Wiki 的会议主题与摘要,2026-01-26
哥飞：web出海闭门答疑分享会,复盘“哥飞：web出海闭门答疑分享会”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,出海、增长与商业化 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20260116-ubclwl6kpimwfrkto5bcrvxlnkc,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20260116｜哥飞：web出海闭门答疑分享会,依据原 Wiki 的会议主题与摘要,2026-01-16
七天：垂直小号定位及运营策略分享,复盘“七天：垂直小号定位及运营策略分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20251229-mes0wil6ai7zqckbki9ckxfmnrf,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20251229｜七天：垂直小号定位及运营策略分享,依据原 Wiki 的会议主题与摘要,2025-12-29
来来老师：AI工作流及知识库分享,复盘“来来老师：AI工作流及知识库分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20251226-dsbewh8bniofpqk9gafch92wnse,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20251226｜来来老师：AI工作流及知识库分享,依据原 Wiki 的会议主题与摘要,2025-12-26
许老师：创业项目决策与算账方法分享,复盘“许老师：创业项目决策与算账方法分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20251219-jxq0worl4ihh0bk8umqcoqkbnob,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20251219｜许老师：创业项目决策与算账方法分享,依据原 Wiki 的会议主题与摘要,2025-12-19
紫菜老师创业心法,复盘“紫菜老师创业心法”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20250115-mkdpwajoliznqbkgdvjc48sznzd,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20250115｜紫菜老师创业心法,依据原 Wiki 的会议主题与摘要,2025-01-15
左烨紫：高客单私域销售策略分享,复盘“左烨紫：高客单私域销售策略分享”的讨论、关键判断与行动项，完整内容见原 Wiki。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/scai-meeting-minutes-wiki-2026/#shenzhen-20250109-li3twc9o9i1huykx0sscpqvanld,https://github.com/siuserxiaowei/scai-meeting-minutes-wiki-2026,20250109｜左烨紫：高客单私域销售策略分享,依据原 Wiki 的会议主题与摘要,2025-01-09
稀疏工作现场中的两条工程线索：硬件原型边界与模型部署保护,这段近六小时录音的转写从两小时三十八分后才出现，且多数是残句、生活闲聊、歌词或疑似背景声。仅能谨慎确认两组工作线索：一组零散提到头戴式原型的供电、摄像头、标注、算法与多路采集；另一组短暂讨论多项模型部署相互干扰、迁移任务以及用持久终端会话保护远程作业。因缺少项目目标、屏幕、日志和明确决定，本页只能部分提炼。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-10-work-matters-segment-2/,https://github.com/siuserxiaowei/august-meeting-knowledge,工作相关事项讨论_分段2,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-10
六小时开放开发现场：从配置事故、数字人原型到小程序上线门禁,这段近六小时录音不是一场连续议程会，而是团队开发、注册、演示与生活共处的开放现场。可确认的知识集中在：网络与配置故障要保留证据和版本，推理服务要分层鉴权，数字人原型要按可见缺陷迭代，小程序上线要提前锁定主体、账号、权限与审核依赖。大量私人闲聊和背景媒体已排除。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-10-ai-project-daily-segment-1/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI项目开发与日常事务讨论_分段1,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-10
证据不足：无法从分段 3 复原 AI Agent 落地讨论,这份分段标注时长为两小时十四分，但逐字稿仅保留两条接近结束时的短发言：一条缺少语义上下文，另一条来源不明且疑似背景媒体或戏剧化对话。文本没有出现可验证的 AI Agent 落地目标、方案、决策、负责人或结果，因此不能据标题补写会议知识。本页只记录证据缺口、风险边界和最小补证流程。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-11-ai-agent-implementation-segment-3/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI agent落地相关事项讨论_分段3,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-11
AI 系统集成现场课：从只读连接器、定制报价到多语言验收与限流排障,这段近六小时录音并非完整会议，而是多人共处工作现场的零散讨论。可确认的业务内容集中在四件事：把客户系统接入 AI 前先做只读隔离与回滚测试；定制项目先澄清范围再报价；多语言产品要分开验证逻辑、内容和图片；遇到高并发、429 与任务失败时先补监控再归因。其余大量生活闲聊和背景媒体未纳入。,会议条目,AI 编程与 Agent / 创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-13-ai-startup-project-segment-2/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI创业项目相关内容讨论_分段2,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-13
稀疏工作现场里的决策底线：业务评测、AI 硬件与流量证据,这段近六小时录音实际只留下前约七十分钟的零散转写，且大量内容来自短视频、音乐、电话和生活对话。能谨慎确认的工作线索只有：外部模型试用需要业务任务与反馈标准；AI 硬件方向被放在制造生态和物料成本中讨论；网站流量、内容渠道收入都只有孤立观察。由于没有评测结果、成本表和流量数据，本页仅给出待核验框架。,会议条目,出海、增长与商业化 / 智能硬件与产品交付 / 创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-13-ai-startup-project-segment-3/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI创业项目相关内容讨论_分段3,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-13
Agent 落地的隐形工程：范围约束、语音管线、线上门禁与可靠上传,这段长时办公现场录音夹杂生活闲聊、行情讨论和背景媒体，可确认的工程线索集中在：紧急修改运行环境引发中断、Agent 把小任务扩张成大工程、语音产品背后的多阶段管线、线上访问与模型就绪门禁，以及上传工具的容错要求。它揭示了一个核心问题：提示词很短，可靠交付所需的边界、权限、验证和成本控制却不能省略。,会议条目,AI 编程与 Agent / 智能硬件与产品交付 / 创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-11-ai-agent-implementation-segment-2/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI agent落地相关事项讨论_分段2,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-11
AI 驱动宠物鲜食运营：从获客实验到供应链、复购与风控,这场长时圆桌以一个宠物鲜食项目为主案例，拆解多平台获客、定制服务、供应链、冷链、客户工作台、知识库和复购设计，也穿插 AI 内容生产、账号与小程序业务。最有价值的不是未经审计的收益数字，而是看到 AI 只有嵌入真实后端才形成价值；食品安全、数据备份、隐私、资质和人工复核必须先于规模化。,会议条目,出海、增长与商业化 / 创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-17-ai-pet-business-operations/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI及相关业务运营讨论,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-17
从语音功能堆叠到场景验收：延迟、质量、溯源与并行研发,这段四小时以上的开放式现场录音被饮食、音乐、私人闲聊和背景媒体大量打断。可确认的工作主线是语音产品验证：从真实场景定义识别、合成、音源分离与情绪分析需求，以延迟、质量、成本取舍模型，用依赖图安排并行开发，并补齐登录体验与内容溯源门禁。多项内容仍只是口头设想。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-10-work-matters-segment-3/,https://github.com/siuserxiaowei/august-meeting-knowledge,工作相关事项讨论_分段3,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-10
从内容影响力到可持续业务：定价、产品闭环与职业安全垫,两位从业者以自媒体、产品开发、企业服务和渠道生意的亲历交流，比较内容能力与商业能力如何互补。讨论从商单定价、社群预期、产品分发延伸到职业选择与现金流；本文只保留可迁移方法，并将未经核验的收益、平台规则和高风险交易降级为待验证线索。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-22-new-recording/,https://github.com/siuserxiaowei/august-meeting-knowledge,新录音,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-22
证据不足：分段 3 未形成可验证的扑克过程记录,这段三小时三十分钟的转写只有三十七个时间块，前后存在长时间空档；零散现场式对话缺乏上下文，后半段连续混入宫廷剧情、出行解说与短视频话术等疑似背景媒体。全文没有可验证的牌局轮次、下注行动、结果或复盘结论，因此不能依据来源标题重建扑克会议，只能沉淀来源分离、证据审计和补录方法。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-08-poker-session-segment-3/,https://github.com/siuserxiaowei/august-meeting-knowledge,多人线下扑克游戏过程讨论_分段3,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-08
证据不足：分段 4 无法复原 AI 创业项目讨论,现有导出文本对应三小时十九分录音，却只在接近结束处保留两条彼此不连贯的短发言，既无前因后果，也无法确认是参会者对话、引用、背景媒体还是转写噪声。文本未出现可核验的创业项目目标、方案、决定、负责人或结果，因此本页标记为证据不足，只保留覆盖审计、脱敏边界和补证停止条件。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-13-ai-startup-project-segment-4/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI创业项目相关内容讨论_分段4,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-13
从单点提速到系统复利：一段模型服务与 Agent 编排的音频解读,这不是多人会议，而是一段单人音频对一篇未附原文的技术文章所作的口述解读。可迁移价值在于：模型服务要同时审视路由、计算、缓存和 Agent 编排，并用生产测量闭环验证改动。源标题中的“官方”、具体模型版本、部署方式与性能数字均未独立核验。,会议条目,AI 编程与 Agent / 智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-02-gpt-5-6-self-optimization/,https://github.com/siuserxiaowei/august-meeting-knowledge,OpenAI 官方博客：GPT 5.6 是如何自己优化自己的,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-02
六小时开放协作现场：把数据、规格、结算、语音与网络变成可验收系统,这段近六小时录音不是一场连续议程会，而是开发、验收、网络部署与日常活动交织的开放现场。可确认的知识集中在：用真实任务检验数据覆盖，以证据定位认证和配置故障，把分发结算写成状态机，保持规格与执行版本一致，用跨端矩阵验收界面，并以统一协议验证语音和网络。硬件、性能、成本与商业说法均为现场观点，仍待实测。,会议条目,智能硬件与产品交付 / 创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-13-ai-project-daily-segment-1/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI项目开发与日常事务讨论_分段1,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-13
六小时开放工作现场：AI 自动化、产品承接与部署验收,这是一段近六小时的开放办公录音，正式讨论与用餐、游戏及背景媒体交错。可确认的知识线索包括：用 Skill 编排研究与模型实验、为考试与测试类内容设计产品承接、以单位经济而非表面差价定价，以及用分层证据排查客户端部署故障。模型、成本、市场和跨境主体判断均是会议观点，未获后台、账单或法规材料验证。,会议条目,创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-08-ai-business-tech-segment-1/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI相关业务与技术落地讨论_分段1,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-08
小程序从做出来到被调用：真实用户、增长闭环与 AI 服务化,这场工坊把小程序从开发、冷启动、留存、分享、变现到被 AI 调用串成一条链路。平台分享与三类产品复盘共同说明：低成本做出首版只是起点，真正的难点是找到有场景的用户、缩短价值路径、建立信任与归因，并把能力拆成可授权、可验证、可恢复的服务。,会议条目,出海、增长与商业化 / 创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-08-wechat-developer-workshop-shenzhen/,https://github.com/siuserxiaowei/august-meeting-knowledge,微信开发者创新工坊深圳站分享,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-08
开放式 AI 工作现场：从模型接入验证到小站增长实验,这是一段近六小时的开放式现场录音，不是连续会议：开场是真实扑克，随后工作讨论与饮食、私人闲聊、音乐及外部节目交错，最后约一小时无转写。可确认的工作主线包括模型接口安全验证、以 AI 辅助学习和对照实验、灾害信息产品的合规调研，以及网站流量—转化诊断与小规模验证。,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-08-poker-session-segment-2/,https://github.com/siuserxiaowei/august-meeting-knowledge,多人线下扑克游戏过程讨论_分段2,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-08
AI 创业经营闭环：让流量、产品、开源与现金流互相验证,这场创业者交流围绕融资与自我造血、内容增长、开源发布、社群和交易平台验证、产品履约及跨境小站展开。核心不是复制会上未经审计的粉丝、收入或融资故事，而是建立一条可验证闭环：先选经营路线和目标用户，再以内容获取匹配流量，用产品与服务承接，以留存、毛利和真实采用决定是否放大。,会议条目,出海、增长与商业化 / 创业、经营与合作 / 内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/august-meeting-knowledge/meetings/2026-08-03-ai-startup-operations/,https://github.com/siuserxiaowei/august-meeting-knowledge,AI创业相关业务与运营经验讨论,沿用已脱敏知识条目的主题；原材料中的事实限制仍适用,2026-08-03
